game_pk,season,official_date,anomaly,detail
449244,2016,2016-09-29,tie_game,"CHC@PIT 1-1 called after 6 inn (FT Final: Tied); no W/L pitcher — genuine MLB tie",
778566,2025,2025-07-15,tie_flag_with_unequal_score,"All-Star Game FW Final: Tied (won in tiebreaker); is_tie=1 but score 6-7 (HR swing-off); no W/L pitcher — faithful to StatsAPI",
632924,2021,2021-08-12,null_venue_and_first_pitch,"Field of Dreams game (Dyersville): venue_id NULL and first_pitch_utc NULL",
663023,2022,2022-08-11,null_venue_and_first_pitch,"Field of Dreams game 2022: venue_id NULL and first_pitch_utc NULL",
745078,2024,2024-06-24,temp_f_zero_sentinel,"Dome game (venue 12) temp_f=0 wind=0 mph None — sentinel zero should be treated as missing",
746345,2024,2024-09-08,temp_f_zero_sentinel,"Roof-closed game (venue 2392) temp_f=0 wind=0 mph None — sentinel zero",
823838,2026,2026-07-28,status_O_not_final,"Game Over (O) not yet flipped to Final at load time 2026-07-29 08:59 UTC",
824243,2026,2026-07-28,status_O_not_final,"Game Over (O) not yet flipped to Final at load time",
630872,2020,2020-08-16,scheduled_7_not_dh_flagged,"double_header=N but scheduled_innings=7 (played 8)",
634003,2021,2021-05-27,scheduled_7_not_dh_flagged,"double_header=N but scheduled_innings=7",
633499,2021,2021-06-27,scheduled_7_not_dh_flagged,"double_header=N but scheduled_innings=7",
632679,2021,2021-08-31,scheduled_7_not_dh_flagged,"double_header=N but scheduled_innings=7",
631567,2020,2020-07-28,dh_scheduled_9,"double_header=Y with scheduled_innings=9 — DH played before 7-inning rule took effect Aug 1 2020 (correct)",
631573,2020,2020-07-28,dh_scheduled_9,"double_header=Y with scheduled_innings=9 — same pre-rule DH (correct)",
