"filename","kind","purpose","key_verified_findings","tables_columns","modeling_impact","rows"
"boxscores-batting-nullability-by-season.csv","csv","Per-season NULL counts for lob and batting_order across all 1,186,159 batting boxscore rows","lob has 0 NULLs in every season 2006-2026; batting_order NULL on only 28 rows total (all position-P entries with all-zero lines)","mlb_boxscore_batting.lob, mlb_boxscore_batting.batting_order","lob usable all 21 seasons with no era gate; tolerate NULL batting_order on 28 benign pitcher rows","21"
"boxscores-batting-order-values.csv","csv","Frequency table of every batting_order value (MLB hundreds encoding slot*100+sub_seq)","each starter slot X00 appears exactly 98,838 times = 2 teams x 49,419 games (perfect lineup completeness); max sub sequence 917; 28 NULLs","mlb_boxscore_batting.batting_order","decode slot as floor(batting_order/100) and substitution order as mod 100; lineup-slot features complete every game; tolerate 28 NULLs","112"
"boxscores-coverage-by-season-type.csv","csv","Games with batting/pitching boxscore rows and row volumes per season x game_type","0 zero-coverage cells across all 21 seasons x game types R/D/L/W/F/A; avg batting rows/game drops ~25.1 to ~20.9 with the universal DH (2020, 2022+)","mlb_boxscore_batting, mlb_boxscore_pitching, mlb_games.game_type/season","boxscore features available for every game 2006-2026; treat batting-rows/game shift in 2020 and 2022+ as DH-rule era effect not ingestion loss","115"
"boxscores-hits-reconciliation-by-season.csv","csv","Cross-check of batting H vs mlb_games hit columns and vs opposing pitching H per team-game","0 mismatches in every season on all four cross-checks; game hit columns never NULL","mlb_boxscore_batting.h, mlb_boxscore_pitching.h, mlb_games.away_hits/home_hits","hit features internally consistent 2006-2026; the three hit sources are interchangeable","21"
"boxscores-outs-innings-by-season.csv","csv","Per-season walk-off-aware reconciliation of pitcher outs recorded vs game innings","home-pitcher outs exact in 49,378/49,419 games (99.92%); away side in-band 49,355/49,419; every deviant carries an early-completion/tie status","mlb_boxscore_pitching.outs, mlb_games.innings/status_code","IP-derived features are exact for status-F games; gate any outs==innings*3 assumption on status_code='F'","21"
"boxscores-outs-innings-deviant-games.csv","csv","Exhaustive list of the 79 games whose pitcher-outs deviate from the innings expectation","all 79 deviants have status FR (75)/FG/FO/FT/FW (rain-shortened mid-inning or ties); zero deviants among the 49,291 status-F games","mlb_games.status_code/innings, mlb_boxscore_pitching.outs","exclude or special-case non-F status games (FR/FG/FO/FT/FW) in innings- and workload-based features","79"
"boxscores-pitchcount-vs-pitch-table-by-season.csv","csv","Season sum of boxscore pitching.pitches vs mlb_pitches row count","ratio 1.0000 exact equality in every season 2006-2026 (e.g. 2006: 716,312 = 716,312)","mlb_boxscore_pitching.pitches, mlb_pitches (row counts)","pitch-count workload features are complete back to 2006 even where per-pitch physics are era-absent","21"
"boxscores-pitching-nullability-by-season.csv","csv","Per-season NULL counts for pitches/strikes/hold across all 408,375 pitching boxscore rows","0 NULLs on pitches, strikes, and hold in every season","mlb_boxscore_pitching.pitches/strikes/hold","no era gate or imputation needed on pitching count fields","21"
"boxscores-pitching-runs-er-reconciliation-by-season.csv","csv","Pitching runs-allowed vs opponent final score and ER<=R sanity per season","1 mismatch in 49,419 games (game 778566, 2025 ASG swing-off); 0 team-games with SUM(er)>SUM(r); 0 negatives","mlb_boxscore_pitching.r/er, mlb_games.away_score/home_score","runs-allowed features trustworthy 2006-2026; exclude ASG (game_type A) which also removes the single mismatch","21"
"boxscores-position-mix-by-season.csv","csv","P/DH/PH batting-row counts per season showing the universal-DH regime shift","P batting rows ~10.5-11.4K/season pre-2020 collapse to 71 (2020) and ~150-235 (2022+); DH rows roughly double; PH rows fall ~4.0K to ~1.3K","mlb_boxscore_batting.position","era gate lineup-composition features: pitcher batting effectively ends with the universal DH (2020, permanent 2022+)","21"
"boxscores-position-vocabulary.csv","csv","Distinct position codes with counts across all batting rows","exactly 12 standard values (P,C,1B,2B,3B,SS,LF,CF,RF,DH,PH,PR); no NULLs, no numeric codes, no generic OF/IF","mlb_boxscore_batting.position","position can be encoded as a closed 12-value vocabulary; no unknown-handling branch needed","12"
"boxscores-report.md","report","Forensic profile of both boxscore tables: coverage, reconciliation, W/L/save flags, semantics","zero ingestion defects; batting 1,186,159 / pitching 408,375 rows; all cross-checks exact except the 2025 ASG swing-off; one player-on-both-teams game (Danny Jansen, 746942)","mlb_boxscore_batting, mlb_boxscore_pitching (vs mlb_games, mlb_pitches, mlb_people)","boxscore-derived features safe 2006-2026; respect hundreds batting_order encoding; PK includes team_id (tolerate game 746942 dual rows); exclude ASG",""
