id,severity,title,claim,evidence,impact,recommendation
NFLV-001,High,Unpinned autobrew fetch left unverified third-party static libraries inside four installed shared objects,"curl, fs, V8 and xml2 each fetched https://autobrew.github.io/scripts/<name> during configure and dot-sourced it into the running shell; the prebuilt static libraries that script downloaded are now linked into curl.so, fs.so, V8.so (47,520,328 bytes) and xml2.so. Proven three ways: the install log's 'Using autobrew bundle' lines (fs :721 libuv-1.52.0, curl :784 curl-macos-8.14.1, V8 :1258 v8-14.6.202.26, xml2 :1556 .deps fingerprint), otool -L showing no corresponding dylib, and strings finding libcurl/8.14.1, 14.6.202.26, 2.14.4 and libuv tokens inside the .so files. magick did NOT fetch - Homebrew was detected so its macOS branch was skipped and its other branch is Linux-x86_64 guarded; magick.so links Homebrew ImageMagick dynamically. The selector script is unpinned and unchecksummed on a mutable GitHub Pages path and is refetched on every build; the bottle URLs inside it are version-labelled. Each package's cleanup then deleted the script and the extracted archive (fs uses rm -f, which cannot remove the .deps directory).","$ROOT/evidence/ws-c/escalation-reviews/curl.md; $ROOT/evidence/ws-c/escalation-reviews/fs.md; $ROOT/evidence/ws-c/escalation-reviews/V8.md; $ROOT/evidence/ws-c/escalation-reviews/xml2.md; $ROOT/evidence/ws-c/escalation-reviews/magick.md; $ROOT/evidence/ws-c/escalation-reviews/STRUCTURAL-LIMITATIONS.md; $ROOT/evidence/ws-c/hooks-inventory.md; $ROOT/evidence/ws-c/escalations.md","Install-time arbitrary code execution as the building user, and - the part that outlives the install - roughly 49 MB of unverified third-party binary resident in the library, dyn.loaded into every R session that calls library(nflreadr). WS-B's 90/90 tarball PASS does not cover these binaries: they were fetched BY those tarballs at install time, entirely outside CRAN's chain of custody. Grepping install logs for 'autobrew' is a false negative - xml2's script contains zero echo statements and never appears in the logs. What the bundles contained on 2026-07-26 is unrecoverable.","Rebuild the library from binaries (Posit Package Manager, type='binary') so configure never runs and the artefact is one CRAN-checksummed object. If source builds are required, set DISABLE_AUTOBREW=1 (USE_BUNDLED_LIBUV=1 for fs) on an egress-restricted host and verify with otool -L that each .so links a real dylib. Record otool -L for curl.so, fs.so, V8.so and xml2.so as a build-provenance artefact. Track CVEs against libcurl 8.14.1, libxml2 2.14.4, libuv 1.52.0 and V8 14.6.202.26 - statically linked copies receive no OS patching."
NFLV-002,High,No integrity verification anywhere before deserialization; live network bytes stream straight into readRDS,"A grep for checksum|sha256|sha-256|md5sum|digest::|signature|gpg|verify.*hash|hash.*verify|integrity across all six targets' entire R/ source returns zero matches, as does a grep for any TLS override (ssl_verifypeer, ssl_verifyhost, insecure, CURLOPT_SSL*). nflreadr/R/from_url.R:65-78 opens a bare url() connection and hands it directly to readRDS - bypassing the curl R package's handle API (not libcurl, which url() still uses internally), so there is no intermediate buffer where a check could be inserted. The pattern is independently re-implemented at least three times (nflreadr::rds_from_url, nfl4th:::raw_rds_from_url, nflfastR:::load_raw_game/read_raw_rds) and none of the three added a check the others lack. Every cached artefact is plain gzip with no integrity field beyond gzip's non-cryptographic CRC32.","$ROOT/evidence/ws-d/serialization-channel.md; $ROOT/evidence/ws-c/pattern-hits.csv; $ROOT/evidence/ws-d/dynamic-fetch-log.csv","The entire trust chain reduces to TLS to the resolved host plus GitHub's access controls over who can publish a release asset to nflverse/nflverse-data, nflverse/nfldata, nflverse/nfl4th or nflverse/nflplotR. A payload that decodes to a structurally valid but factually wrong data frame - spoofed scores, altered lines, tampered win probabilities - is accepted with no warning and flows into anything downstream. That outcome needs no code-execution vulnerability at all. nfl4th's model path adds a second, C++-side deserializer (xgboost::xgb.load.raw) after the first.","Do not let nflverse fetch inside a production request path. Mirror each release asset into Dime-controlled storage, record a SHA-256 at ingest, and verify that pinned hash on every read. Treat any hash change on a historical asset as an event to review before promotion. nfl4th's own cached_model() is.raw() format-sniff is not a safety check - a malicious raw vector passes it trivially."
NFLV-003,High,"Offline fetch failure is silent, is cached as a success, and keeps being served after connectivity returns","In the offline+cold run all six calls returned normally: not one raised an R-level error. load_schedules(2026) returned a 0x1 frame after three warnings (connection failure, nflreadr's own cli_warn, and a twice-fired Unknown or uninitialised column: 'roof' from its own post-processing), because rds_from_url downgrades the try-error to cli_warn and returns data.table::data.table(). memoise sees that as an ordinary cacheable value; the cache directory went from 0 files to 5. A three-step reproduction confirmed the poisoning: same cache dir, same URL, called again fully online, returned dim 0x1 in 0.013s without retrying the network. Independent review reproduced this end to end and found it worse than reported - zero conditions are raised on the poisoned re-read. Cache keys are hash(url) only, with a fixed 24h TTL baked into nflreadr's .onLoad and no connectivity-aware or content-aware invalidation; the only escapes are nflreadr::clear_cache() or waiting out the TTL.","$ROOT/evidence/ws-d/offline-behavior.md; $ROOT/evidence/ws-d/cache-behavior.md; $ROOT/evidence/ws-d/dynamic-fetch-log.csv","A cron job or model run that loses connectivity for a single call silently proceeds on zero rows, and keeps doing so for up to 24 hours after the network is healthy, with no exception to catch and - on the re-read - not even a warning. Warnings are the only signal and are trivially lost to suppressWarnings(), options(warn=-1), knitr or any log router. Filesystem cache mode makes this a multi-hour trap; the default memory mode confines it to one process, which is why a fresh Rscript per job masks it.","Wrap every loader call in an explicit non-empty assertion (nrow above an expected floor) and fail hard, because the package will not. If filesystem caching is used, call nflreadr::clear_cache() after any run that emitted a fetch warning. Better: cache in Dime's own layer keyed on an explicit successful-fetch flag rather than relying on memoise, which cannot distinguish a legitimate empty result from a cached failure."
NFLV-004,Medium,Live game state for a decision-support computation is fetched over cleartext HTTP,"nfl4th::get_4th_plays() builds a plaintext http://site.api.espn.com URL by paste0() at sources/nfl4th/R/get_game_data.R:41-42 and fetches live in-game state from it. It is the only cleartext endpoint among all endpoints actually fetched by the six targets - every other fetched endpoint is https. (The static census contains other http:// strings that no package's code ever fetches, e.g. nflfastR's doc-only citation of www.nflgsis.com.) The payload is JSON via jsonlite::fromJSON, so the R-deserialization risks in NFLV-002 do not transfer to it. No pattern in the scan matched this - it was found by reading the file.","$ROOT/evidence/ws-d/serialization-channel.md; $ROOT/evidence/ws-c/notes.md; $ROOT/evidence/ws-d/url-census-targets.txt","Live game state feeding a real-time 4th-down and win-probability computation crosses the network without TLS, so it is readable and modifiable by anyone on the path. For a real-money product this is decision-support input with no transport integrity whatsoever.","Do not use get_4th_plays() on any wagering surface as shipped. Either source live game state from a TLS endpoint Dime controls, or proxy the call through an https gateway and validate the response shape before it reaches the model."
NFLV-005,Medium,V8 executes bundled JavaScript inside the R process with the JS-to-R escape hatch enabled by default,"V8::v8()'s R-level default is console = TRUE (R/V8.R:136), and bindings.cpp:541-548 installs the console object whenever that flag is set. R/callback.R then exposes four R primitives to JavaScript: console.r.call (eval(parse(text=...)) then do.call), console.r.get (eval(parse(text=...))), console.r.eval (source(textConnection(...)), arbitrary R in the global environment) and console.r.assign (assign(..., globalenv())). Three bundled JS assets execute in the R process via V8: juicyjuice/inst/dist/bundle.js (css_inline.R:19-22), reactR/inst/www/babel/babel.min.js (babel.R:20-25) and reactable/inst/htmlwidgets/reactable.server.js (reactable.R:850). All three ctx$source() calls in the closure were verified to read system.file() paths, not URLs - though V8's own documentation demonstrates URL sourcing twice, once over plaintext http.","$ROOT/evidence/ws-c/escalation-reviews/V8.md; $ROOT/evidence/ws-c/escalation-reviews/STRUCTURAL-LIMITATIONS.md; $ROOT/evidence/ws-c/escalation-reviews/juicyjuice.md; $ROOT/evidence/ws-c/escalation-reviews/reactR.md; $ROOT/evidence/ws-c/escalation-reviews/reactable.md","The JavaScript-to-R boundary is not a sandbox by default. No path in this closure currently feeds untrusted JS to a context, so the exposure is latent rather than live - but the guard rail is off, roughly 30 MB of bundled JS was not reviewed, and these three bundles' blast radius is in-process rather than browser-sandboxed.","If Dime code ever creates a V8 context, use V8::v8(console = FALSE), which skips console_template() entirely, and never pass an http(s) URL to ctx$source(). V8 enters this closure only through nflplotR -> gt -> juicyjuice and reactable; if gt table rendering is not needed, dropping nflplotR removes V8, its 47.5 MB unverified binary and this JS surface together."
NFLV-006,Medium,nflfastR add_dakota() load()s a remote .Rdata into a live function frame,"sources/nflfastR/R/aggregate_game_stats.R:687-691 opens url('https://github.com/nflverse/nflfastR-data/blob/master/models/dakota_model.Rdata?raw=true') and calls load(con) inside try(silent=TRUE). load() is a strictly larger trust surface than readRDS: rather than returning a value the caller inspects, it deserializes an entire saved workspace's named objects directly into the calling frame. The code then trusts that a variable named dakota_model appears - pre-initialised to NULL so a failed or tampered load degrades to 'model unavailable' - and passes it straight into mgcv::predict.gam(). WS-C promoted this above every other deserialization row in the closure for exactly this reason. The host is a 4th distinct nflverse-org data repo (nflfastR-data), confirmed present once in the closure URL census.","$ROOT/evidence/ws-d/serialization-channel.md; $ROOT/evidence/ws-c/notes.md; $ROOT/evidence/ws-c/pattern-hits.csv; $ROOT/evidence/ws-d/url-census-closure.txt","Reached from calculate_player_stats(weekly=TRUE). A tampered .Rdata could define any object in a live function frame, not just the expected model, and the silent-degradation design means a substituted or missing model produces no error - the same fail-quiet pattern as NFLV-003, here applied to a model rather than to data.","Avoid the dakota code path, or vendor dakota_model.Rdata into Dime-controlled storage with a pinned hash and load it yourself before calling nflfastR. This finding was source-verified, not live-tested - calculate_player_stats(weekly=TRUE) was not one of the exercised loaders."
NFLV-007,Medium,nfl4th performs an unconditional DNS lookup and can delete a user cache file on every library() call,"sources/nfl4th/R/zzz.R .onLoad calls curl::nslookup('github.com', error = FALSE) unconditionally - confirmed live by tracing curl::nslookup during library(nfl4th) in a fresh Rscript --vanilla process, not only by source reading. The same hook creates tools::R_user_dir('nfl4th','cache') if absent, and otherwise calls file.remove() on the games cache file when that file exists and options(nfl4th.keep_games) is not TRUE. On this host the delete branch was a no-op: the directory pre-existed the audit (mtime Jul 26 21:26) and held no games file. There is no option that skips the lookup itself - nfl4th.keep_games only changes what happens after it.","$ROOT/evidence/ws-d/load-side-effects.md; $ROOT/evidence/ws-d/notes.md","library(nfl4th) - including transitively via library(nflverse), which attaches all five core packages - is a network operation and a potential filesystem mutation before any nfl4th function is called. In a locked-down deployment that is unexpected egress; in a long-lived container it silently discards cached game data on each load. No other target package sets environment variables or writes to a cache at load time.","Set options(nfl4th.keep_games = TRUE) before loading if the games cache matters, and redirect all three packages' caches with R_USER_CACHE_DIR (it governs nflreadr via rappdirs and nfl4th/nflplotR via tools::R_user_dir). Include github.com DNS resolution in any egress allowlist, or do not load nfl4th in processes that must not touch the network."
NFLV-008,Medium,future's .onAttach sources .future.R from the current working directory into the global environment,"sources/future/R/zzz.R:97-167 - .onAttach calls sourceFutureStartupScript(), which with R_FUTURE_STARTUP_SCRIPT unset and no future.startup.script option resolves to c('.future.R','~/.future.R'), checks the current working directory FIRST, and source()s the first match with local = FALSE, i.e. into the global environment. It is opt-out, not opt-in; errors are downgraded to a warning. The trigger is an explicit library(future) or library(furrr) attach, NOT library(nflverse) - WS-C's original reachability claim was too broad and was corrected by Imports-vs-Depends analysis and empirically disproven with a marker test. No .future.R exists anywhere it would be found on this host and no override is configured, so it did not run here.","$ROOT/evidence/ws-c/escalation-reviews/future.md; $ROOT/evidence/ws-c/escalations.md","Any R process that attaches future or furrr with an untrusted working directory executes that directory's .future.R at global scope, where it can define or overwrite anything the session later uses. Relevant to CI runners and to any job that changes into a checkout it does not fully control. Not reachable from the nflverse load path itself.","Set R_FUTURE_STARTUP_SCRIPT=FALSE (or options(future.startup.script = FALSE)) in the environment of any process that attaches future or furrr, and never attach them with an untrusted cwd."
NFLV-009,Medium,Remote image bytes reach the system ImageMagick parser through nflplotR,"magick's install-time autobrew branch demonstrably did NOT fire: Homebrew was detected ('Homebrew 6.0.12' in the install log) so configure:51-52 was skipped, and configure:31 is guarded on uname -sm being Linux x86_64 so it is dead code on darwin/arm64. magick was installed twice; the first attempt failed on a missing Magick++.h from imagemagick@6 and the successful run linked Homebrew ImageMagick 7 dynamically. What remains is E10: image_read(<url>) feeds remote image bytes into the system ImageMagick parser, reachable from nflplotR's logo and headshot rendering, and magick/src/base.cpp:12 sets KMP_DUPLICATE_LIB_OK=1 at package init.","$ROOT/evidence/ws-c/escalation-reviews/magick.md; $ROOT/evidence/ws-c/native-code-inventory.md","Untrusted remote image bytes reach a large C++ image-parsing surface that this audit did not read. Classified accepted-risk rather than finding because the fetch is author-initiated, not automatic, and because - unlike the four autobrew statics - this ImageMagick does receive OS-level patching.","Keep Homebrew ImageMagick current. Do not render images from URLs Dime does not control. nflplotR's own bundled logos are 39 raw PNG blobs inside sysdata.rda (all verified to carry a valid PNG magic header) and need no network fetch."
NFLV-010,Medium,CC-BY-4.0 attribution conditions apply and nflverse expressly disclaims that its grant covers the underlying NFL data,"nflverse/nflverse-data is CC-BY-4.0 - confirmed via api.github.com and by reading the full 18,647-character LICENSE.md. GitHub's structured summary lists permissions commercial-use, modifications, distribution and private-use, with conditions include-copyright and document-changes. Section 3(a) sets out the attribution requirements (creator identification, copyright notice, license notice, warranty disclaimer, URI, indication of modifications) and Section 4 extends them to sui generis database rights over a substantial portion of the contents. A search for non-commercial language across all 90 DESCRIPTION and LICENSE files, the full license text, and every fetched nflverse document returned 0 hits. However nflreadr's own Terms of Use state 'The R code for this package is released as open source under the MIT License. NFL data accessed by this package belong to their respective owners, and are governed by their terms of use.', and CC-BY-4.0 Section 2(b)(2) states 'Patent and trademark rights are not licensed under this Public License.' No affiliation or trademark disclaimer of any kind was found anywhere in nflverse's own documentation.","$ROOT/evidence/ws-e/data-licensing.md; $ROOT/evidence/ws-e/commercial-posture.md; $ROOT/evidence/ws-e/raw/nflverse-data-LICENSE.md; $ROOT/evidence/ws-e/raw/nflreadr-index.html","Attribution is conditioned on Sharing the licensed material, which a public-facing product surface may or may not constitute. Separately, nflverse declines to assert that its grant reaches the underlying NFL-originated facts, and the grant expressly excludes trademark - so NFL team names, logos and 'Next Gen Stats' are unaddressed by it. NFL.com, Next Gen Stats, Pro Football Reference and FTN Fantasy terms of service were outside the audit's approved network scope and were not reviewed. This audit reaches no legal conclusion.","Take the 9-item list in ws-e/commercial-posture.md section 5 to counsel before any nflverse-derived data reaches a user-facing surface. Priority order: whether Dime's use constitutes Sharing under 3(a); whether nflverse holds the rights it is licensing; separate NFL trademark clearance; upstream vendor terms, particularly FTN Fantasy as a named commercial vendor. Implement a concrete attribution notice once counsel sets its scope - this audit found no evidence Dime displays one today, and did not check."
